time	 clk	 reset	 enable	 load 	 dataIn 	 out	
VCD info: dumpfile counter_8bit_vcd.vcd opened for output.
1230	 0	 0	 0	 0	 11010101	 00111100	
1240	 1	 0	 0	 0	 11010101	 00111100	
1250	 0	 0	 0	 0	 11010101	 00111101	
1260	 1	 0	 0	 0	 11010101	 00111101	
1270	 0	 0	 0	 0	 11010101	 00111110	
1280	 1	 0	 0	 0	 11010101	 00111110	
1290	 0	 0	 0	 0	 11010101	 00111111	
1300	 1	 0	 0	 0	 11010101	 00111111	
1310	 0	 0	 0	 0	 11010101	 01000000	
1320	 1	 0	 0	 0	 11010101	 01000000	
1330	 0	 0	 0	 0	 11010101	 01000001	
1340	 1	 0	 0	 0	 11010101	 01000001	
1350	 0	 0	 0	 0	 11010101	 01000010	
1360	 1	 0	 0	 0	 11010101	 01000010	
1370	 0	 0	 0	 0	 11010101	 01000011	
1380	 1	 0	 0	 0	 11010101	 01000011	
1390	 0	 0	 0	 0	 11010101	 01000100	
1400	 1	 0	 0	 0	 11010101	 01000100	
1410	 0	 0	 0	 0	 11010101	 01000101	
1420	 1	 0	 0	 0	 11010101	 01000101	
1430	 0	 0	 0	 0	 11010101	 01000110	
1440	 1	 0	 0	 0	 11010101	 01000110	
1450	 0	 0	 0	 0	 11010101	 01000111	
1460	 1	 0	 0	 0	 11010101	 01000111	
1470	 0	 0	 0	 0	 11010101	 01001000	
1480	 1	 0	 0	 0	 11010101	 01001000	
1490	 0	 0	 0	 0	 11010101	 01001001	
1500	 1	 0	 0	 0	 11010101	 01001001	
1510	 0	 0	 0	 0	 11010101	 01001010	
1520	 1	 0	 0	 0	 11010101	 01001010	
1530	 0	 0	 0	 0	 11010101	 01001011	
1540	 1	 0	 0	 0	 11010101	 01001011	
1550	 0	 0	 0	 0	 11010101	 01001100	
1560	 1	 0	 0	 0	 11010101	 01001100	
1570	 0	 0	 0	 0	 11010101	 01001101	
1580	 1	 0	 0	 0	 11010101	 01001101	
1590	 0	 0	 0	 0	 11010101	 01001110	
1600	 1	 0	 0	 0	 11010101	 01001110	
1610	 0	 0	 0	 0	 11010101	 01001111	
1620	 1	 0	 0	 0	 11010101	 01001111	
1630	 0	 0	 0	 0	 11010101	 01010000	
1640	 1	 0	 0	 0	 11010101	 01010000	
1650	 0	 0	 0	 0	 11010101	 01010001	
1660	 1	 0	 0	 0	 11010101	 01010001	
1670	 0	 0	 0	 0	 11010101	 01010010	
1680	 1	 0	 0	 0	 11010101	 01010010	
1690	 0	 0	 0	 0	 11010101	 01010011	
1700	 1	 0	 0	 0	 11010101	 01010011	
1710	 0	 0	 0	 0	 11010101	 01010100	
1720	 1	 0	 0	 0	 11010101	 01010100	
1730	 0	 0	 0	 0	 11010101	 01010101	
1740	 1	 0	 0	 0	 11010101	 01010101	
1750	 0	 0	 0	 0	 11010101	 01010110	
1760	 1	 0	 0	 0	 11010101	 01010110	
1770	 0	 0	 0	 0	 11010101	 01010111	
1780	 1	 0	 0	 0	 11010101	 01010111	
1790	 0	 0	 0	 0	 11010101	 01011000	
1800	 1	 0	 0	 0	 11010101	 01011000	
1810	 0	 0	 0	 0	 11010101	 01011001	
1820	 1	 0	 0	 0	 11010101	 01011001	
1830	 0	 0	 0	 0	 11010101	 01011010	
1840	 1	 0	 0	 0	 11010101	 01011010	
1850	 0	 0	 0	 0	 11010101	 01011011	
1860	 1	 0	 0	 0	 11010101	 01011011	
1870	 0	 0	 0	 0	 11010101	 01011100	
1880	 1	 0	 0	 0	 11010101	 01011100	
1890	 0	 0	 0	 0	 11010101	 01011101	
1900	 1	 0	 0	 0	 11010101	 01011101	
1910	 0	 0	 0	 0	 11010101	 01011110	
1920	 1	 0	 0	 0	 11010101	 01011110	
1930	 0	 0	 0	 0	 11010101	 01011111	
1940	 1	 0	 0	 0	 11010101	 01011111	
1950	 0	 0	 0	 0	 11010101	 01100000	
1960	 1	 0	 0	 0	 11010101	 01100000	
1970	 0	 0	 0	 0	 11010101	 01100001	
1980	 1	 0	 0	 0	 11010101	 01100001	
1990	 0	 0	 0	 0	 11010101	 01100010	
2000	 1	 0	 0	 0	 11010101	 01100010	
2010	 0	 0	 0	 0	 11010101	 01100011	
2020	 1	 0	 0	 0	 11010101	 01100011	
2030	 0	 0	 0	 0	 11010101	 01100100	
2040	 1	 0	 0	 0	 11010101	 01100100	
2050	 0	 0	 0	 0	 11010101	 01100101	
2060	 1	 0	 0	 0	 11010101	 01100101	
2070	 0	 0	 0	 0	 11010101	 01100110	
2080	 1	 0	 0	 0	 11010101	 01100110	
2090	 0	 0	 0	 0	 11010101	 01100111	
2100	 1	 0	 0	 0	 11010101	 01100111	
2110	 0	 0	 0	 0	 11010101	 01101000	
2120	 1	 0	 0	 0	 11010101	 01101000	
2130	 0	 0	 0	 0	 11010101	 01101001	
2140	 1	 0	 0	 0	 11010101	 01101001	
2150	 0	 0	 0	 0	 11010101	 01101010	
2160	 1	 0	 0	 0	 11010101	 01101010	
2170	 0	 0	 0	 0	 11010101	 01101011	
2180	 1	 0	 0	 0	 11010101	 01101011	
2190	 0	 0	 0	 0	 11010101	 01101100	
2200	 1	 0	 0	 0	 11010101	 01101100	
2210	 0	 0	 0	 0	 11010101	 01101101	
2220	 1	 0	 0	 0	 11010101	 01101101	
2230	 0	 0	 0	 0	 11010101	 01101110	
2240	 1	 0	 0	 0	 11010101	 01101110	
2250	 0	 0	 0	 0	 11010101	 01101111	
2260	 1	 0	 0	 0	 11010101	 01101111	
2270	 0	 0	 0	 0	 11010101	 01110000	
2280	 1	 0	 0	 0	 11010101	 01110000	
2290	 0	 0	 0	 0	 11010101	 01110001	
2300	 1	 0	 0	 0	 11010101	 01110001	
2310	 0	 0	 0	 0	 11010101	 01110010	
2320	 1	 0	 0	 0	 11010101	 01110010	
2330	 0	 0	 0	 0	 11010101	 01110011	
2340	 1	 0	 0	 0	 11010101	 01110011	
2350	 0	 0	 0	 0	 11010101	 01110100	
2360	 1	 0	 0	 0	 11010101	 01110100	
2370	 0	 0	 0	 0	 11010101	 01110101	
2380	 1	 0	 0	 0	 11010101	 01110101	
2390	 0	 0	 0	 0	 11010101	 01110110	
2400	 1	 0	 0	 0	 11010101	 01110110	
2410	 0	 0	 0	 0	 11010101	 01110111	
2420	 1	 0	 0	 0	 11010101	 01110111	
2430	 0	 0	 0	 0	 11010101	 01111000	
2440	 1	 0	 0	 0	 11010101	 01111000	
2450	 0	 0	 0	 0	 11010101	 01111001	
2460	 1	 0	 0	 0	 11010101	 01111001	
2470	 0	 0	 0	 0	 11010101	 01111010	
2480	 1	 0	 0	 0	 11010101	 01111010	
2490	 0	 0	 0	 0	 11010101	 01111011	
2500	 1	 0	 0	 0	 11010101	 01111011	
2510	 0	 0	 0	 0	 11010101	 01111100	
2520	 1	 0	 0	 0	 11010101	 01111100	
2530	 0	 0	 0	 0	 11010101	 01111101	
2540	 1	 0	 0	 0	 11010101	 01111101	
2550	 0	 0	 0	 0	 11010101	 01111110	
2560	 1	 0	 0	 0	 11010101	 01111110	
2570	 0	 0	 0	 0	 11010101	 01111111	
2580	 1	 0	 0	 0	 11010101	 01111111	
2590	 0	 0	 0	 0	 11010101	 10000000	
2600	 1	 0	 0	 0	 11010101	 10000000	
2610	 0	 0	 0	 0	 11010101	 10000001	
2620	 1	 0	 0	 0	 11010101	 10000001	
2630	 0	 0	 0	 0	 11010101	 10000010	
2640	 1	 0	 0	 0	 11010101	 10000010	
2650	 0	 0	 0	 0	 11010101	 10000011	
2660	 1	 0	 0	 0	 11010101	 10000011	
2670	 0	 0	 0	 0	 11010101	 10000100	
2680	 1	 0	 0	 0	 11010101	 10000100	
2690	 0	 0	 0	 0	 11010101	 10000101	
2700	 1	 0	 0	 0	 11010101	 10000101	
2710	 0	 0	 0	 0	 11010101	 10000110	
2720	 1	 0	 0	 0	 11010101	 10000110	
2730	 0	 0	 0	 0	 11010101	 10000111	
2740	 1	 0	 0	 0	 11010101	 10000111	
2750	 0	 0	 0	 0	 11010101	 10001000	
2760	 1	 0	 0	 0	 11010101	 10001000	
2770	 0	 0	 0	 0	 11010101	 10001001	
2780	 1	 0	 0	 0	 11010101	 10001001	
2790	 0	 0	 0	 0	 11010101	 10001010	
2800	 1	 0	 0	 0	 11010101	 10001010	
2810	 0	 0	 0	 0	 11010101	 10001011	
2820	 1	 0	 0	 0	 11010101	 10001011	
2830	 0	 0	 0	 0	 11010101	 10001100	
2840	 1	 0	 0	 0	 11010101	 10001100	
2850	 0	 0	 0	 0	 11010101	 10001101	
2860	 1	 0	 0	 0	 11010101	 10001101	
2870	 0	 0	 0	 0	 11010101	 10001110	
2880	 1	 0	 0	 0	 11010101	 10001110	
2890	 0	 0	 0	 0	 11010101	 10001111	
2900	 1	 0	 0	 0	 11010101	 10001111	
2910	 0	 0	 0	 0	 11010101	 10010000	
2920	 1	 0	 0	 0	 11010101	 10010000	
2930	 0	 0	 0	 0	 11010101	 10010001	
2940	 1	 0	 0	 0	 11010101	 10010001	
2950	 0	 0	 0	 0	 11010101	 10010010	
2960	 1	 0	 0	 0	 11010101	 10010010	
2970	 0	 0	 0	 0	 11010101	 10010011	
2980	 1	 0	 0	 0	 11010101	 10010011	
2990	 0	 0	 0	 0	 11010101	 10010100	
3000	 1	 0	 0	 0	 11010101	 10010100	
3010	 0	 0	 0	 0	 11010101	 10010101	
3020	 1	 0	 0	 0	 11010101	 10010101	
3030	 0	 0	 0	 0	 11010101	 10010110	
3040	 1	 0	 0	 0	 11010101	 10010110	
3050	 0	 0	 0	 0	 11010101	 10010111	
3060	 1	 0	 0	 0	 11010101	 10010111	
3070	 0	 0	 0	 0	 11010101	 10011000	
3080	 1	 0	 0	 0	 11010101	 10011000	
3090	 0	 0	 0	 0	 11010101	 10011001	
3100	 1	 0	 0	 0	 11010101	 10011001	
3110	 0	 0	 0	 0	 11010101	 10011010	
3120	 1	 0	 0	 0	 11010101	 10011010	
3130	 0	 0	 0	 0	 11010101	 10011011	
